date,value
2020-04-19,518.18
2020-04-20,521.48
2020-04-21,520.19
2020-04-22,499.37
2020-04-23,485.71
2020-04-24,518.28
2020-04-25,531.9
2020-04-26,521.48
2020-04-27,514.3
2020-04-28,512.89
2020-04-29,508.22
2020-04-30,512.69
2020-05-01,520.71
2020-05-02,516.16
2020-05-03,511.69
2020-05-04,509.31
2020-05-05,504.88
2020-05-06,485.31
2020-05-07,482.99
2020-05-08,481.71
2020-05-09,493.93
2020-05-10,490.64
2020-05-11,488.6
2020-05-12,488.07
2020-05-13,489.83
2020-05-14,477.38
2020-05-15,487.47
2020-05-16,482.35
2020-05-17,479.63
2020-05-18,482.12
2020-05-19,479.85
2020-05-20,478.62
2020-05-21,475.64
2020-05-22,468.17
2020-05-23,456.86
2020-05-24,427.83
2020-05-25,423.3
2020-05-26,412.43
2020-05-27,406.92
2020-05-28,441.56
2020-05-29,436.11
2020-05-30,423.52
2020-05-31,414.94
2020-06-01,406.62
2020-06-02,401.02
2020-06-03,385.21
2020-06-04,390.98
2020-06-05,391.38
2020-06-06,385.5
2020-06-07,377.69
2020-06-08,364.49
2020-06-09,341.8
2020-06-10,345.13
2020-06-11,339.25
2020-06-12,354.36
2020-06-13,382.73
2020-06-14,375.07
2020-06-15,367.19
2020-06-16,379.43
2020-06-17,397.23
2020-06-18,411.7
2020-06-19,402.23
2020-06-20,398.81
2020-06-21,385.48
2020-06-22,395.16
2020-06-23,393.94
2020-06-24,390.08
2020-06-25,392.65
2020-06-26,388.58
2020-06-27,385.05
2020-06-28,364.35
2020-06-29,359.86
2020-06-30,359.22
2020-07-01,358.63
2020-07-02,359.98
2020-07-03,357.83
2020-07-04,350.91
2020-07-05,348.05
2020-07-06,340.53
2020-07-07,329.05
2020-07-08,334
2020-07-09,331.77
2020-07-10,343.37
2020-07-11,352.97
2020-07-12,352.73
2020-07-13,347.03
2020-07-14,363.63
2020-07-15,374.82
2020-07-16,371.31
2020-07-17,429.72
2020-07-18,457.09
2020-07-19,419.25
2020-07-20,405.53
2020-07-21,390.8
2020-07-22,410.2
2020-07-23,392.4
2020-07-24,386.48
2020-07-25,382.02
2020-07-26,357.88
2020-07-27,364.84
2020-07-28,370.85
